---> Starting with dimension 16  and correlation 0 
Run: 8 out of 10  -  2025-06-11 19:33:15.016471 with b: 1.579 
Run: 9 out of 10  -  2025-06-11 19:33:15.176555 with b: 1.579 
Run: 10 out of 10  -  2025-06-11 19:33:15.430366 with b: 1.579 

 18 / 20 
Run: 1 out of 10  -  2025-06-11 19:33:15.542958 with b: 1.789 
Run: 2 out of 10  -  2025-06-11 19:33:15.688039 with b: 1.789 
Run: 3 out of 10  -  2025-06-11 19:33:15.792304 with b: 1.789 
Run: 4 out of 10  -  2025-06-11 19:33:15.937512 with b: 1.789 
Run: 5 out of 10  -  2025-06-11 19:33:16.054824 with b: 1.789 
Run: 6 out of 10  -  2025-06-11 19:33:16.229277 with b: 1.789 
Run: 7 out of 10  -  2025-06-11 19:33:16.444739 with b: 1.789 
Run: 8 out of 10  -  2025-06-11 19:33:16.551413 with b: 1.789 
Run: 9 out of 10  -  2025-06-11 19:33:16.692564 with b: 1.789 
Run: 10 out of 10  -  2025-06-11 19:33:16.797018 with b: 1.789 

 19 / 20 
Run: 1 out of 10  -  2025-06-11 19:33:16.941574 with b: 2 
Run: 2 out of 10  -  2025-06-11 19:33:17.048987 with b: 2 
Run: 3 out of 10  -  2025-06-11 19:33:17.205194 with b: 2 
Run: 4 out of 10  -  2025-06-11 19:33:17.310624 with b: 2 
Run: 5 out of 10  -  2025-06-11 19:33:17.608428 with b: 2 
Run: 6 out of 10  -  2025-06-11 19:33:17.713427 with b: 2 
Run: 7 out of 10  -  2025-06-11 19:33:17.817472 with b: 2 
Run: 8 out of 10  -  2025-06-11 19:33:18.033991 with b: 2 
Run: 9 out of 10  -  2025-06-11 19:33:18.214136 with b: 2 
Run: 10 out of 10  -  2025-06-11 19:33:18.348869 with b: 2 

 20 / 20 
---> Finished with dimension 128  and correlation 0.75 
---> Starting with dimension 256  and correlation 0.75 
Run: 1 out of 10  -  2025-06-11 19:33:18.485305 with b: -2 
Run: 2 out of 10  -  2025-06-11 19:33:19.584999 with b: -2 
Run: 3 out of 10  -  2025-06-11 19:33:20.718697 with b: -2 
Run: 4 out of 10  -  2025-06-11 19:33:21.806654 with b: -2 
Run: 5 out of 10  -  2025-06-11 19:33:22.793592 with b: -2 
Run: 6 out of 10  -  2025-06-11 19:33:23.878538 with b: -2 
Run: 7 out of 10  -  2025-06-11 19:33:25.037031 with b: -2 
Run: 8 out of 10  -  2025-06-11 19:33:26.025891 with b: -2 
Run: 9 out of 10  -  2025-06-11 19:33:27.102535 with b: -2 
Run: 10 out of 10  -  2025-06-11 19:33:28.199353 with b: -2 

 1 / 20 
Run: 1 out of 10  -  2025-06-11 19:33:29.192238 with b: -1.789 
Run: 2 out of 10  -  2025-06-11 19:33:30.307108 with b: -1.789 
Run: 3 out of 10  -  2025-06-11 19:33:31.419208 with b: -1.789 
Run: 4 out of 10  -  2025-06-11 19:33:33.275916 with b: -1.789 
Run: 5 out of 10  -  2025-06-11 19:33:34.346377 with b: -1.789 
Run: 6 out of 10  -  2025-06-11 19:33:35.488139 with b: -1.789 
Run: 7 out of 10  -  2025-06-11 19:33:36.533703 with b: -1.789 
Run: 8 out of 10  -  2025-06-11 19:33:37.623411 with b: -1.789 
Run: 9 out of 10  -  2025-06-11 19:33:38.759096 with b: -1.789 
Run: 10 out of 10  -  2025-06-11 19:33:39.805097 with b: -1.789 

 2 / 20 
Run: 1 out of 10  -  2025-06-11 19:33:40.893364 with b: -1.579 
Run: 2 out of 10  -  2025-06-11 19:33:42.000969 with b: -1.579 
Run: 3 out of 10  -  2025-06-11 19:33:43.079489 with b: -1.579 
Run: 4 out of 10  -  2025-06-11 19:33:44.18645 with b: -1.579 
Run: 5 out of 10  -  2025-06-11 19:33:45.284782 with b: -1.579 
Run: 6 out of 10  -  2025-06-11 19:33:46.389378 with b: -1.579 
Run: 7 out of 10  -  2025-06-11 19:33:47.501505 with b: -1.579 
Run: 8 out of 10  -  2025-06-11 19:33:48.533004 with b: -1.579 
Run: 9 out of 10  -  2025-06-11 19:33:49.620793 with b: -1.579 
Run: 10 out of 10  -  2025-06-11 19:33:50.754818 with b: -1.579 

 3 / 20 
Run: 1 out of 10  -  2025-06-11 19:33:51.818116 with b: -1.368 
Run: 2 out of 10  -  2025-06-11 19:33:52.915555 with b: -1.368 
Run: 3 out of 10  -  2025-06-11 19:33:54.059625 with b: -1.368 
Run: 4 out of 10  -  2025-06-11 19:33:55.169571 with b: -1.368 
Run: 5 out of 10  -  2025-06-11 19:33:56.27594 with b: -1.368 
Run: 6 out of 10  -  2025-06-11 19:33:57.38183 with b: -1.368 
Run: 7 out of 10  -  2025-06-11 19:33:58.477518 with b: -1.368 
Run: 8 out of 10  -  2025-06-11 19:33:59.488952 with b: -1.368 
Run: 9 out of 10  -  2025-06-11 19:34:00.589324 with b: -1.368 
Run: 10 out of 10  -  2025-06-11 19:34:01.71531 with b: -1.368 

 4 / 20 
Run: 1 out of 10  -  2025-06-11 19:34:02.865823 with b: -1.158 
Run: 2 out of 10  -  2025-06-11 19:34:04.014499 with b: -1.158 
Run: 3 out of 10  -  2025-06-11 19:34:05.006662 with b: -1.158 
Run: 4 out of 10  -  2025-06-11 19:34:06.070187 with b: -1.158 
Run: 5 out of 10  -  2025-06-11 19:34:07.201105 with b: -1.158 
Run: 6 out of 10  -  2025-06-11 19:34:08.303104 with b: -1.158 
Run: 7 out of 10  -  2025-06-11 19:34:09.291271 with b: -1.158 
Run: 8 out of 10  -  2025-06-11 19:34:10.358665 with b: -1.158 
Run: 9 out of 10  -  2025-06-11 19:34:11.46904 with b: -1.158 
Run: 10 out of 10  -  2025-06-11 19:34:12.576623 with b: -1.158 

 5 / 20 
Run: 1 out of 10  -  2025-06-11 19:34:13.651418 with b: -0.947 
Run: 2 out of 10  -  2025-06-11 19:34:14.735464 with b: -0.947 
Run: 3 out of 10  -  2025-06-11 19:34:15.749808 with b: -0.947 
Run: 4 out of 10  -  2025-06-11 19:34:17.511177 with b: -0.947 
Run: 5 out of 10  -  2025-06-11 19:34:18.795252 with b: -0.947 
Run: 6 out of 10  -  2025-06-11 19:34:19.874725 with b: -0.947 
Run: 7 out of 10  -  2025-06-11 19:34:20.985664 with b: -0.947 
Run: 8 out of 10  -  2025-06-11 19:34:22.10552 with b: -0.947 
Run: 9 out of 10  -  2025-06-11 19:34:23.240312 with b: -0.947 
Run: 10 out of 10  -  2025-06-11 19:34:24.408475 with b: -0.947 

 6 / 20 
Run: 1 out of 10  -  2025-06-11 19:34:25.525157 with b: -0.737 
Run: 2 out of 10  -  2025-06-11 19:34:26.698374 with b: -0.737 
Run: 3 out of 10  -  2025-06-11 19:34:27.870968 with b: -0.737 
Run: 4 out of 10  -  2025-06-11 19:34:29.094489 with b: -0.737 
Run: 5 out of 10  -  2025-06-11 19:34:31.762772 with b: -0.737 
Run: 6 out of 10  -  2025-06-11 19:34:32.970014 with b: -0.737 
Run: 7 out of 10  -  2025-06-11 19:34:34.190807 with b: -0.737 
Run: 8 out of 10  -  2025-06-11 19:34:35.426634 with b: -0.737 
Run: 9 out of 10  -  2025-06-11 19:34:36.637814 with b: -0.737 
Run: 10 out of 10  -  2025-06-11 19:34:37.838805 with b: -0.737 

 7 / 20 
Run: 1 out of 10  -  2025-06-11 19:34:39.018667 with b: -0.526 
Run: 2 out of 10  -  2025-06-11 19:34:40.208941 with b: -0.526 
Run: 3 out of 10  -  2025-06-11 19:34:41.383412 with b: -0.526 
Run: 4 out of 10  -  2025-06-11 19:34:42.607425 with b: -0.526 
Run: 5 out of 10  -  2025-06-11 19:34:43.797298 with b: -0.526 
Run: 6 out of 10  -  2025-06-11 19:34:45.001959 with b: -0.526 
Run: 7 out of 10  -  2025-06-11 19:34:46.206747 with b: -0.526 
Run: 8 out of 10  -  2025-06-11 19:34:47.389028 with b: -0.526 
Run: 9 out of 10  -  2025-06-11 19:34:48.617487 with b: -0.526 
Run: 10 out of 10  -  2025-06-11 19:34:49.852899 with b: -0.526 

 8 / 20 
Run: 1 out of 10  -  2025-06-11 19:34:51.082589 with b: -0.316 
Run: 2 out of 10  -  2025-06-11 19:34:52.248894 with b: -0.316 
Run: 3 out of 10  -  2025-06-11 19:34:53.436074 with b: -0.316 
Run: 4 out of 10  -  2025-06-11 19:34:54.637038 with b: -0.316 
Run: 5 out of 10  -  2025-06-11 19:34:55.83679 with b: -0.316 
Run: 6 out of 10  -  2025-06-11 19:34:57.035586 with b: -0.316 
Run: 7 out of 10  -  2025-06-11 19:34:58.261756 with b: -0.316 
Run: 8 out of 10  -  2025-06-11 19:34:59.451214 with b: -0.316 
Run: 9 out of 10  -  2025-06-11 19:35:00.660539 with b: -0.316 
Run: 10 out of 10  -  2025-06-11 19:35:01.929441 with b: -0.316 

 9 / 20 
Run: 1 out of 10  -  2025-06-11 19:35:03.117965 with b: -0.105 
Run: 2 out of 10  -  2025-06-11 19:35:04.305181 with b: -0.105 
Run: 3 out of 10  -  2025-06-11 19:35:05.493669 with b: -0.105 
Run: 4 out of 10  -  2025-06-11 19:35:06.71698 with b: -0.105 
Run: 5 out of 10  -  2025-06-11 19:35:07.913844 with b: -0.105 
Run: 6 out of 10  -  2025-06-11 19:35:09.101083 with b: -0.105 
Run: 7 out of 10  -  2025-06-11 19:35:10.181214 with b: -0.105 
Run: 8 out of 10  -  2025-06-11 19:35:11.35818 with b: -0.105 
Run: 9 out of 10  -  2025-06-11 19:35:12.472945 with b: -0.105 
Run: 10 out of 10  -  2025-06-11 19:35:13.629116 with b: -0.105 

 10 / 20 
Run: 1 out of 10  -  2025-06-11 19:35:14.820401 with b: 0.105 
Run: 2 out of 10  -  2025-06-11 19:35:16.021881 with b: 0.105 
Run: 3 out of 10  -  2025-06-11 19:35:17.223338 with b: 0.105 
Run: 4 out of 10  -  2025-06-11 19:35:18.433364 with b: 0.105 
Run: 5 out of 10  -  2025-06-11 19:35:19.651418 with b: 0.105 
Run: 6 out of 10  -  2025-06-11 19:35:20.889898 with b: 0.105 
Run: 7 out of 10  -  2025-06-11 19:35:22.076237 with b: 0.105 
Run: 8 out of 10  -  2025-06-11 19:35:23.309953 with b: 0.105 
Run: 9 out of 10  -  2025-06-11 19:35:24.498199 with b: 0.105 
Run: 10 out of 10  -  2025-06-11 19:35:25.666674 with b: 0.105 

 11 / 20 
Run: 1 out of 10  -  2025-06-11 19:35:26.87388 with b: 0.316 
Run: 2 out of 10  -  2025-06-11 19:35:28.059549 with b: 0.316 
Run: 3 out of 10  -  2025-06-11 19:35:29.276995 with b: 0.316 
Run: 4 out of 10  -  2025-06-11 19:35:30.557656 with b: 0.316 
Run: 5 out of 10  -  2025-06-11 19:35:31.741019 with b: 0.316 
Run: 6 out of 10  -  2025-06-11 19:35:32.914887 with b: 0.316 
Run: 7 out of 10  -  2025-06-11 19:35:34.138505 with b: 0.316 
Run: 8 out of 10  -  2025-06-11 19:35:35.288123 with b: 0.316 
Run: 9 out of 10  -  2025-06-11 19:35:36.46855 with b: 0.316 
Run: 10 out of 10  -  2025-06-11 19:35:37.683926 with b: 0.316 

 12 / 20 
Run: 1 out of 10  -  2025-06-11 19:35:38.866439 with b: 0.526 
Run: 2 out of 10  -  2025-06-11 19:35:40.07093 with b: 0.526 
Run: 3 out of 10  -  2025-06-11 19:35:41.270841 with b: 0.526 
Run: 4 out of 10  -  2025-06-11 19:35:42.449964 with b: 0.526 
Run: 5 out of 10  -  2025-06-11 19:35:43.638702 with b: 0.526 
Run: 6 out of 10  -  2025-06-11 19:35:45.761061 with b: 0.526 
Run: 7 out of 10  -  2025-06-11 19:35:46.919193 with b: 0.526 
Run: 8 out of 10  -  2025-06-11 19:35:48.111628 with b: 0.526 
Run: 9 out of 10  -  2025-06-11 19:35:49.24 with b: 0.526 
Run: 10 out of 10  -  2025-06-11 19:35:50.417243 with b: 0.526 

 13 / 20 
Run: 1 out of 10  -  2025-06-11 19:35:51.613236 with b: 0.737 
Run: 2 out of 10  -  2025-06-11 19:35:52.887951 with b: 0.737 
Run: 3 out of 10  -  2025-06-11 19:35:54.11002 with b: 0.737 
Run: 4 out of 10  -  2025-06-11 19:35:55.310271 with b: 0.737 
Run: 5 out of 10  -  2025-06-11 19:35:56.481454 with b: 0.737 
Run: 6 out of 10  -  2025-06-11 19:35:57.644444 with b: 0.737 
Run: 7 out of 10  -  2025-06-11 19:35:58.839238 with b: 0.737 
Run: 8 out of 10  -  2025-06-11 19:36:00.055506 with b: 0.737 
Run: 9 out of 10  -  2025-06-11 19:36:01.261824 with b: 0.737 
Run: 10 out of 10  -  2025-06-11 19:36:02.446223 with b: 0.737 

 14 / 20 
Run: 1 out of 10  -  2025-06-11 19:36:03.692662 with b: 0.947 
Run: 2 out of 10  -  2025-06-11 19:36:04.924082 with b: 0.947 
Run: 3 out of 10  -  2025-06-11 19:36:06.141509 with b: 0.947 
Run: 4 out of 10  -  2025-06-11 19:36:07.302614 with b: 0.947 
Run: 5 out of 10  -  2025-06-11 19:36:08.494925 with b: 0.947 
Run: 6 out of 10  -  2025-06-11 19:36:09.705447 with b: 0.947 
Run: 7 out of 10  -  2025-06-11 19:36:10.911271 with b: 0.947 
Run: 8 out of 10  -  2025-06-11 19:36:12.106444 with b: 0.947 
Run: 9 out of 10  -  2025-06-11 19:36:13.319969 with b: 0.947 
Run: 10 out of 10  -  2025-06-11 19:36:14.501894 with b: 0.947 

 15 / 20 
Run: 1 out of 10  -  2025-06-11 19:36:15.677306 with b: 1.158 
Run: 2 out of 10  -  2025-06-11 19:36:16.892764 with b: 1.158 
Run: 3 out of 10  -  2025-06-11 19:36:18.102901 with b: 1.158 
Run: 4 out of 10  -  2025-06-11 19:36:19.314088 with b: 1.158 
Run: 5 out of 10  -  2025-06-11 19:36:20.514686 with b: 1.158 
Run: 6 out of 10  -  2025-06-11 19:36:21.684934 with b: 1.158 
Run: 7 out of 10  -  2025-06-11 19:36:23.635184 with b: 1.158 
Run: 8 out of 10  -  2025-06-11 19:36:24.836174 with b: 1.158 
Run: 9 out of 10  -  2025-06-11 19:36:26.027792 with b: 1.158 
Run: 10 out of 10  -  2025-06-11 19:36:27.233282 with b: 1.158 

 16 / 20 
Run: 1 out of 10  -  2025-06-11 19:36:28.415759 with b: 1.368 
Run: 2 out of 10  -  2025-06-11 19:36:29.57463 with b: 1.368 
Run: 3 out of 10  -  2025-06-11 19:36:30.752813 with b: 1.368 
Run: 4 out of 10  -  2025-06-11 19:36:31.924704 with b: 1.368 
Run: 5 out of 10  -  2025-06-11 19:36:33.137888 with b: 1.368 
Run: 6 out of 10  -  2025-06-11 19:36:34.322338 with b: 1.368 
Run: 7 out of 10  -  2025-06-11 19:36:35.521098 with b: 1.368 
Run: 8 out of 10  -  2025-06-11 19:36:36.740866 with b: 1.368 
Run: 9 out of 10  -  2025-06-11 19:36:37.922383 with b: 1.368 
Run: 10 out of 10  -  2025-06-11 19:36:39.154171 with b: 1.368 

 17 / 20 
Run: 1 out of 10  -  2025-06-11 19:36:40.374299 with b: 1.579 
Run: 2 out of 10  -  2025-06-11 19:36:41.667404 with b: 1.579 
Run: 3 out of 10  -  2025-06-11 19:36:42.955217 with b: 1.579 
Run: 4 out of 10  -  2025-06-11 19:36:44.194304 with b: 1.579 
Run: 5 out of 10  -  2025-06-11 19:36:45.475565 with b: 1.579 
Run: 6 out of 10  -  2025-06-11 19:36:46.789405 with b: 1.579 
Run: 7 out of 10  -  2025-06-11 19:36:48.126215 with b: 1.579 
Run: 8 out of 10  -  2025-06-11 19:36:49.423482 with b: 1.579 
Run: 9 out of 10  -  2025-06-11 19:36:50.73204 with b: 1.579 
Run: 10 out of 10  -  2025-06-11 19:36:52.019449 with b: 1.579 

 18 / 20 
Run: 1 out of 10  -  2025-06-11 19:36:53.334089 with b: 1.789 
Run: 2 out of 10  -  2025-06-11 19:36:54.642629 with b: 1.789 
Run: 3 out of 10  -  2025-06-11 19:36:55.930025 with b: 1.789 
Run: 4 out of 10  -  2025-06-11 19:36:57.200608 with b: 1.789 
Run: 5 out of 10  -  2025-06-11 19:36:58.463147 with b: 1.789 
Run: 6 out of 10  -  2025-06-11 19:36:59.73537 with b: 1.789 
Run: 7 out of 10  -  2025-06-11 19:37:01.06119 with b: 1.789 
Run: 8 out of 10  -  2025-06-11 19:37:02.370062 with b: 1.789 
Run: 9 out of 10  -  2025-06-11 19:37:03.68522 with b: 1.789 
Run: 10 out of 10  -  2025-06-11 19:37:04.992775 with b: 1.789 

 19 / 20 
Run: 1 out of 10  -  2025-06-11 19:37:06.306551 with b: 2 
Run: 2 out of 10  -  2025-06-11 19:37:07.610205 with b: 2 
Run: 3 out of 10  -  2025-06-11 19:37:08.92803 with b: 2 
Run: 4 out of 10  -  2025-06-11 19:37:10.23672 with b: 2 
Run: 5 out of 10  -  2025-06-11 19:37:11.559955 with b: 2 
Run: 6 out of 10  -  2025-06-11 19:37:12.878727 with b: 2 
Run: 7 out of 10  -  2025-06-11 19:37:14.159877 with b: 2 
Run: 8 out of 10  -  2025-06-11 19:37:15.455647 with b: 2 
Run: 9 out of 10  -  2025-06-11 19:37:16.755164 with b: 2 
Run: 10 out of 10  -  2025-06-11 19:37:18.068241 with b: 2 

 20 / 20 
---> Finished with dimension 256  and correlation 0.75 
---> Starting with dimension 512  and correlation 0.75 
Run: 1 out of 10  -  2025-06-11 19:37:19.380859 with b: -2 
Run: 2 out of 10  -  2025-06-11 19:37:27.813812 with b: -2 
Run: 3 out of 10  -  2025-06-11 19:37:36.657605 with b: -2 
Run: 4 out of 10  -  2025-06-11 19:37:45.121569 with b: -2 
Run: 5 out of 10  -  2025-06-11 19:37:53.815756 with b: -2 
Run: 6 out of 10  -  2025-06-11 19:38:02.105744 with b: -2 
Run: 7 out of 10  -  2025-06-11 19:38:10.493973 with b: -2 
Run: 8 out of 10  -  2025-06-11 19:38:18.857102 with b: -2 
Run: 9 out of 10  -  2025-06-11 19:38:27.168963 with b: -2 
Run: 10 out of 10  -  2025-06-11 19:38:35.72998 with b: -2 

 1 / 20 
Run: 1 out of 10  -  2025-06-11 19:38:44.219662 with b: -1.789 
Run: 2 out of 10  -  2025-06-11 19:38:52.591156 with b: -1.789 
Run: 3 out of 10  -  2025-06-11 19:39:01.100523 with b: -1.789 
Run: 4 out of 10  -  2025-06-11 19:39:09.186329 with b: -1.789 
Run: 5 out of 10  -  2025-06-11 19:39:17.537781 with b: -1.789 
Run: 6 out of 10  -  2025-06-11 19:39:25.840642 with b: -1.789 
Run: 7 out of 10  -  2025-06-11 19:39:34.291674 with b: -1.789 
Run: 8 out of 10  -  2025-06-11 19:39:42.565345 with b: -1.789 
Run: 9 out of 10  -  2025-06-11 19:39:50.958547 with b: -1.789 
Run: 10 out of 10  -  2025-06-11 19:39:59.547942 with b: -1.789 

 2 / 20 
Run: 1 out of 10  -  2025-06-11 19:40:07.957089 with b: -1.579 
Run: 2 out of 10  -  2025-06-11 19:40:21.195266 with b: -1.579 
Run: 3 out of 10  -  2025-06-11 19:40:29.98007 with b: -1.579 
Run: 4 out of 10  -  2025-06-11 19:40:38.462673 with b: -1.579 
Run: 5 out of 10  -  2025-06-11 19:40:46.756519 with b: -1.579 
Run: 6 out of 10  -  2025-06-11 19:40:55.23095 with b: -1.579 
Run: 7 out of 10  -  2025-06-11 19:41:03.679307 with b: -1.579 
Run: 8 out of 10  -  2025-06-11 19:41:11.911402 with b: -1.579 
Run: 9 out of 10  -  2025-06-11 19:41:20.355655 with b: -1.579 
Run: 10 out of 10  -  2025-06-11 19:41:28.710449 with b: -1.579 

 3 / 20 
Run: 1 out of 10  -  2025-06-11 19:41:37.752935 with b: -1.368 
Run: 2 out of 10  -  2025-06-11 19:41:46.831435 with b: -1.368 
Run: 3 out of 10  -  2025-06-11 19:41:55.969673 with b: -1.368 
Run: 4 out of 10  -  2025-06-11 19:42:05.196013 with b: -1.368 
Run: 5 out of 10  -  2025-06-11 19:42:14.490198 with b: -1.368 
Run: 6 out of 10  -  2025-06-11 19:42:23.504508 with b: -1.368 
Run: 7 out of 10  -  2025-06-11 19:42:32.600396 with b: -1.368 
Run: 8 out of 10  -  2025-06-11 19:42:41.726488 with b: -1.368 
Run: 9 out of 10  -  2025-06-11 19:42:50.687649 with b: -1.368 
Run: 10 out of 10  -  2025-06-11 19:42:59.872337 with b: -1.368 

 4 / 20 
Run: 1 out of 10  -  2025-06-11 19:43:09.048017 with b: -1.158 
Run: 2 out of 10  -  2025-06-11 19:43:18.158416 with b: -1.158 
Run: 3 out of 10  -  2025-06-11 19:43:27.460979 with b: -1.158 
Run: 4 out of 10  -  2025-06-11 19:43:36.518165 with b: -1.158 
Run: 5 out of 10  -  2025-06-11 19:43:45.766068 with b: -1.158 
Run: 6 out of 10  -  2025-06-11 19:43:55.044236 with b: -1.158 
Run: 7 out of 10  -  2025-06-11 19:44:04.36713 with b: -1.158 
Run: 8 out of 10  -  2025-06-11 19:44:13.732045 with b: -1.158 
Run: 9 out of 10  -  2025-06-11 19:44:22.864478 with b: -1.158 
Run: 10 out of 10  -  2025-06-11 19:44:32.093277 with b: -1.158 

 5 / 20 
Run: 1 out of 10  -  2025-06-11 19:44:41.333748 with b: -0.947 
Run: 2 out of 10  -  2025-06-11 19:44:50.733102 with b: -0.947 
Run: 3 out of 10  -  2025-06-11 19:44:59.798005 with b: -0.947 
Run: 4 out of 10  -  2025-06-11 19:45:08.978966 with b: -0.947 
Run: 5 out of 10  -  2025-06-11 19:45:18.071301 with b: -0.947 
Run: 6 out of 10  -  2025-06-11 19:45:27.175972 with b: -0.947 
Run: 7 out of 10  -  2025-06-11 19:45:36.261667 with b: -0.947 
Run: 8 out of 10  -  2025-06-11 19:45:46.062433 with b: -0.947 
Run: 9 out of 10  -  2025-06-11 19:45:55.268732 with b: -0.947 
Run: 10 out of 10  -  2025-06-11 19:46:04.31585 with b: -0.947 

 6 / 20 
Run: 1 out of 10  -  2025-06-11 19:46:13.684446 with b: -0.737 
Run: 2 out of 10  -  2025-06-11 19:46:22.947186 with b: -0.737 
Run: 3 out of 10  -  2025-06-11 19:46:32.133883 with b: -0.737 
Run: 4 out of 10  -  2025-06-11 19:46:41.20407 with b: -0.737 
Run: 5 out of 10  -  2025-06-11 19:46:50.432809 with b: -0.737 
Run: 6 out of 10  -  2025-06-11 19:46:59.545613 with b: -0.737 
Run: 7 out of 10  -  2025-06-11 19:47:08.70473 with b: -0.737 
Run: 8 out of 10  -  2025-06-11 19:47:17.963923 with b: -0.737 
Run: 9 out of 10  -  2025-06-11 19:47:27.110038 with b: -0.737 
Run: 10 out of 10  -  2025-06-11 19:47:36.229708 with b: -0.737 

 7 / 20 
Run: 1 out of 10  -  2025-06-11 19:47:45.355996 with b: -0.526 
Run: 2 out of 10  -  2025-06-11 19:47:54.424033 with b: -0.526 
Run: 3 out of 10  -  2025-06-11 19:48:03.710787 with b: -0.526 
Run: 4 out of 10  -  2025-06-11 19:48:12.939714 with b: -0.526 
Run: 5 out of 10  -  2025-06-11 19:48:22.044394 with b: -0.526 
Run: 6 out of 10  -  2025-06-11 19:48:31.187065 with b: -0.526 
Run: 7 out of 10  -  2025-06-11 19:48:40.479603 with b: -0.526 
Run: 8 out of 10  -  2025-06-11 19:48:49.686816 with b: -0.526 
Run: 9 out of 10  -  2025-06-11 19:48:59.769363 with b: -0.526 
Run: 10 out of 10  -  2025-06-11 19:49:10.275573 with b: -0.526 

 8 / 20 
Run: 1 out of 10  -  2025-06-11 19:49:19.249346 with b: -0.316 
Run: 2 out of 10  -  2025-06-11 19:49:28.246197 with b: -0.316 
Run: 3 out of 10  -  2025-06-11 19:49:37.441737 with b: -0.316 
Run: 4 out of 10  -  2025-06-11 19:49:46.672081 with b: -0.316 
Run: 5 out of 10  -  2025-06-11 19:49:55.692927 with b: -0.316 
Run: 6 out of 10  -  2025-06-11 19:50:04.685995 with b: -0.316 
Run: 7 out of 10  -  2025-06-11 19:50:13.500944 with b: -0.316 
Run: 8 out of 10  -  2025-06-11 19:50:22.543044 with b: -0.316 
Run: 9 out of 10  -  2025-06-11 19:50:31.590583 with b: -0.316 
Run: 10 out of 10  -  2025-06-11 19:50:40.561792 with b: -0.316 

 9 / 20 
Run: 1 out of 10  -  2025-06-11 19:50:49.786952 with b: -0.105 
Run: 2 out of 10  -  2025-06-11 19:50:58.866399 with b: -0.105 
Run: 3 out of 10  -  2025-06-11 19:51:07.778368 with b: -0.105 
Run: 4 out of 10  -  2025-06-11 19:51:16.888589 with b: -0.105 
Run: 5 out of 10  -  2025-06-11 19:51:25.937385 with b: -0.105 
Run: 6 out of 10  -  2025-06-11 19:51:35.067895 with b: -0.105 
Run: 7 out of 10  -  2025-06-11 19:51:44.183855 with b: -0.105 
Run: 8 out of 10  -  2025-06-11 19:51:53.299336 with b: -0.105 
Run: 9 out of 10  -  2025-06-11 19:52:02.406725 with b: -0.105 
Run: 10 out of 10  -  2025-06-11 19:52:11.569062 with b: -0.105 

 10 / 20 
Run: 1 out of 10  -  2025-06-11 19:52:20.691953 with b: 0.105 
Run: 2 out of 10  -  2025-06-11 19:52:31.100428 with b: 0.105 
Run: 3 out of 10  -  2025-06-11 19:52:40.880476 with b: 0.105 
Run: 4 out of 10  -  2025-06-11 19:52:50.792603 with b: 0.105 
Run: 5 out of 10  -  2025-06-11 19:53:00.595271 with b: 0.105 
Run: 6 out of 10  -  2025-06-11 19:53:10.490335 with b: 0.105 
Run: 7 out of 10  -  2025-06-11 19:53:20.460262 with b: 0.105 
Run: 8 out of 10  -  2025-06-11 19:53:30.320124 with b: 0.105 
Run: 9 out of 10  -  2025-06-11 19:53:40.1087 with b: 0.105 
Run: 10 out of 10  -  2025-06-11 19:53:49.757594 with b: 0.105 

 11 / 20 
Run: 1 out of 10  -  2025-06-11 19:53:59.74792 with b: 0.316 
Run: 2 out of 10  -  2025-06-11 19:54:09.80718 with b: 0.316 
Run: 3 out of 10  -  2025-06-11 19:54:19.638763 with b: 0.316 
Run: 4 out of 10  -  2025-06-11 19:54:29.613308 with b: 0.316 
